,bfs_number,postalcode
0,2,8909
1,2,8910
2,3,8906
3,4,8915
4,5,8908
5,6,8926
6,7,8934
7,8,8933
8,9,8932
9,10,8912
10,23,8415
11,25,8447
12,27,8245
13,27,8246
14,30,8450
15,34,8248
16,34,8447
17,38,8462
18,51,8184
19,52,8303
20,53,8180
21,54,8305
22,55,8193
23,56,8424
24,58,8192
25,59,8182
26,62,8302
27,63,8426
28,64,8309
29,66,8152
30,66,8302
31,67,8197
32,68,8427
33,69,8304
34,69,8305
35,71,8196
36,72,8185
37,82,8113
38,83,8107
39,84,8108
40,85,8114
41,86,8157
42,87,8115
43,88,8173
44,89,8172
45,90,8155
46,90,8156
47,91,8166
48,92,8154
49,93,8165
50,94,8112
51,96,8105
52,96,8106
53,97,8153
54,100,8174
55,101,8162
56,102,8187
57,111,8344
58,112,8633
59,113,8632
60,113,8635
61,115,8624
62,115,8625
63,117,8340
64,118,8630
65,119,8607
66,120,8636
67,120,8637
68,121,8620
69,121,8623
70,131,8134
71,135,8802
72,136,8135
73,138,8805
74,138,8833
75,141,8800
76,152,8704
77,153,8634
78,153,8714
79,154,8700
80,155,8708
81,156,8706
82,157,8618
83,158,8712
84,158,8713
85,159,8707
86,161,8125
87,161,8702
88,172,8320
89,173,8335
90,176,8317
91,177,8330
92,178,8332
93,180,8484
94,191,8600
95,192,8132
96,193,8117
97,193,8118
98,194,8606
99,195,8118
100,195,8124
101,196,8617
102,197,8603
103,198,8610
104,198,8616
105,199,8604
106,199,8605
107,200,8306
108,213,8311
109,214,8471
110,219,8352
111,224,8413
112,224,8422
113,225,8545
114,226,8418
115,227,8472
116,228,8488
117,230,8400
118,230,8404
119,230,8405
120,230,8406
121,230,8408
122,230,8409
123,230,8482
124,231,8487
125,242,8903
126,243,8953
127,243,8955
128,245,8102
129,247,8952
130,248,8142
131,249,8103
132,250,8902
133,250,8953
134,251,8104
135,251,8951
136,261,8001
137,261,8002
138,261,8003
139,261,8004
140,261,8005
141,261,8006
142,261,8008
143,261,8032
144,261,8037
145,261,8038
146,261,8041
147,261,8044
148,261,8045
149,261,8046
150,261,8047
151,261,8048
152,261,8049
153,261,8050
154,261,8051
155,261,8052
156,261,8053
157,261,8055
158,261,8057
159,261,8102
160,296,8307
161,296,8308
162,296,8483
163,297,8494
164,298,8542
165,298,8543
166,298,8544